0,1,2,3,4
Cash and cash equivalents,$,"8,249",$,"7,079"
Short-term investments,,"13,813",,"17,955"
Total cash and short-term investments,$,"22,062",$,"25,034"
Total debt,$,"50,011",$,"49,266"
We suspended the declaration of quarterly dividends starting with Q4 2024. We are prohibited under our commercial CHIPS Act agreement from paying dividends for the next,,,,
"two years and are subject to limitations on the payment of dividends for the three years thereafter. Further, we do not expect to pay dividends until our cash flows improve as we",,,,
focus on the critical investments needed to execute our business strategy and create long-term value.,,,,
MD&A,,,,28
