(In Millions),Column_2,Ireland SCIP,Column_4,Arizona SCIP,Column_6,Mobileye,Column_8,Column_9,Column_10,Column_11
"Non-controlling interests as of Dec 30, 2023
Partner contributions",$,"— 
—",$,"2,359 
1,702",$,"1,838 
—",$,"178 
—",$,"4,375 
1,702"
"Partner distributions
Changes in equity of non-controlling interest holders",,"(43)
—",,"— 
—",,"— 
205",,"— 
—",,"(43)
205"
Net income attributable to non-controlling interests,,104,,(173),,(371),,(37),,(477)
"Non-controlling interests as of Dec 28, 2024",$,61,$,"3,888",$,"1,672",$,141,$,"5,762"
