0,2,3,4,5,6,7
"Gains on Equity Investments and Interest and Other, Net",,,,,,
Years Ended (In Millions),,"Dec 28, 2024",,"Dec 30, 2023",,"Dec 31, 2022"
"Unrealized gains on marketable equity investments
Unrealized gains on non-marketable equity investments",$,"(218)
92",$,"(99)
17",$,"(829)
299"
Impairment charges,,(347),,(214),,(190)
"Unrealized gains (losses) on equity investments, net",,"(473)
715",,"(296)
336",,"(720)
4,988"
"Realized gains (losses) on sales of equity investments, net",,242,,40,,"4,268"
"Gains (losses) on equity investments, net",,,,,,
"Interest and other, net",$,226,$,629,$,"1,166"
